Convo_ID ,Opening Query,Answer ,Sources ,Comments 
T-16,"can a lawyer partner at an accounting firm claim 199A deduction in 2024 for PSH distributions made to them,? and if that distribution includes income from past years not previously distributed?","If the firm is an SSTB (specified service trade/business), the partner may be excluded from §199A. However, income from prior years distributed in 2024 may still qualify if properly characterized. Income caps apply.",IRC §199A; Reg. §1.199A-5,
T-17,"When does a corporate distribution of appreciated property under IRC §311(b) trigger recognition of gain, and how do recent rulings address the treatment of liabilities in excess of basis?","Corporations must recognize gain (but not loss) on distribution of appreciated property under §311(b). If liabilities exceed basis, additional gain is recognized. Recent rulings (e.g., PLR 202103010) confirm this.",IRC §311(b); Rev. Rul. 81-284,
T-18,What are the at risk and passive activity losses rules in the context of a partnership flip structure in a renewable energy transaction?,Losses are limited to amount at-risk under §465 and further limited by passive activity rules under §469. Complex flip structures often face timing restrictions on deduction and basis increases.,"IRC §§ 465, 469; IRS Notice 2007-65",
T-19,"Does a leveraged distribution to a contributing partner within two years of a property contribution trigger the disguised sale rules under §707?""","Yes. If a distribution follows a contribution within two years, it triggers a presumption of disguised sale unless facts and circumstances clearly rebut i",IRC §707(a)(2)(B); Reg. §1.707-3(c),
T-20,"What are the U.S. federal income tax implications of structuring the acquisition of a foreign subsidiary through a newly formed U.S. holding company, rather than acquiring it directly through the operating entity","Using a U.S. holdco can provide better control, treaty access, and transfer pricing flexibility. However, may also expose the structure to Subpart F, GILTI, and PFIC issues","IRC §§ 951A, 956, 957; Subpart F rules",
T-21,,,,
T-22,,,,
T-23,,,,
T-24,,,,
T-25,,,,
T-26,,,,
T-27,,,,
T-28,,,,
T-29,,,,
T-30,,,,
